RSSI-Org;Robot X [m];Robot Y [m];Robot Z [m];Robot Rot Z [deg];Reading Number;Note;;phi;RSSI
-5842;1.2;0;0;90;1;Angular;;0;-58.42
-5833;1.2;0;0;90;1;Angular;;0;-58.33
-5833;1.2;0;0;90;1;Angular;;0;-58.33
-5842;1.2;0;0;90;1;Angular;;0;-58.42
-5842;1.2;0;0;90;1;Angular;;0;-58.42
-5842;1.2;0;0;90;1;Angular;;0;-58.42
-5795;1.2;0;0;95;1;Angular;;5;-57.95
-5795;1.2;0;0;95;1;Angular;;5;-57.95
-5776;1.2;0;0;95;1;Angular;;5;-57.76
-5814;1.2;0;0;95;1;Angular;;5;-58.14
-5805;1.2;0;0;95;1;Angular;;5;-58.05
-5805;1.2;0;0;95;1;Angular;;5;-58.05
-5776;1.2;0;0;100;1;Angular;;10;-57.76
-5767;1.2;0;0;100;1;Angular;;10;-57.67
-5786;1.2;0;0;100;1;Angular;;10;-57.86
-5776;1.2;0;0;100;1;Angular;;10;-57.76
-5767;1.2;0;0;100;1;Angular;;10;-57.67
-5776;1.2;0;0;100;1;Angular;;10;-57.76
-5790;1.2;0;0;105;1;Angular;;15;-57.9
-5790;1.2;0;0;105;1;Angular;;15;-57.9
-5790;1.2;0;0;105;1;Angular;;15;-57.9
-5800;1.2;0;0;105;1;Angular;;15;-58
-5809;1.2;0;0;105;1;Angular;;15;-58.09
-5800;1.2;0;0;105;1;Angular;;15;-58
-5800;1.2;0;0;105;1;Angular;;15;-58
-5870;1.2;0;0;110;1;Angular;;20;-58.7
-5908;1.2;0;0;110;1;Angular;;20;-59.08
-5889;1.2;0;0;110;1;Angular;;20;-58.89
-5880;1.2;0;0;110;1;Angular;;20;-58.8
-5880;1.2;0;0;110;1;Angular;;20;-58.8
-5880;1.2;0;0;110;1;Angular;;20;-58.8
-5899;1.2;0;0;110;1;Angular;;20;-58.99
-5955;1.2;0;0;115;1;Angular;;25;-59.55
-5917;1.2;0;0;115;1;Angular;;25;-59.17
-5955;1.2;0;0;115;1;Angular;;25;-59.55
-5917;1.2;0;0;115;1;Angular;;25;-59.17
-5936;1.2;0;0;115;1;Angular;;25;-59.36
