RSSI-Org;Robot Rot Z [deg];Reading Number;;;;;;phi;RSSI
-6904;40;7;;;;;;-50;-69.04
-6857;40;7;;;;;;-50;-68.57
-6867;40;7;;;;;;-50;-68.67
-6848;40;7;;;;;;-50;-68.48
-6876;40;7;;;;;;-50;-68.76
-7595;30;7;;;;;;-60;-75.95
-7652;30;7;;;;;;-60;-76.52
-7652;30;7;;;;;;-60;-76.52
-7567;30;7;;;;;;-60;-75.67
-7802;30;7;;;;;;-60;-78.02
-7539;30;7;;;;;;-60;-75.39
-7736;30;7;;;;;;-60;-77.36
-7586;20;7;;;;;;-70;-75.86
-7652;20;7;;;;;;-70;-76.52
-7670;20;7;;;;;;-70;-76.7
-7605;20;7;;;;;;-70;-76.05
-7595;20;7;;;;;;-70;-75.95
-7558;20;7;;;;;;-70;-75.58
-7294;10;7;;;;;;-80;-72.94
-7323;10;7;;;;;;-80;-73.23
-7351;10;7;;;;;;-80;-73.51
-7351;10;7;;;;;;-80;-73.51
-7323;10;7;;;;;;-80;-73.23
-7323;10;7;;;;;;-80;-73.23
-7233;0;7;;;;;;-90;-72.33
-7459;0;7;;;;;;-90;-74.59
-7243;0;7;;;;;;-90;-72.43
-7487;0;7;;;;;;-90;-74.87
-7262;0;7;;;;;;-90;-72.62
-7497;0;7;;;;;;-90;-74.97
-7544;0;7;;;;;;-90;-75.44
-7224;0;7;;;;;;-90;-72.24
-7497;0;7;;;;;;-90;-74.97
-7224;0;7;;;;;;-90;-72.24
-7196;0;7;;;;;;-90;-71.96
-7487;0;7;;;;;;-90;-74.87
-5781;100;8;;;;;;10;-57.81
-5800;100;8;;;;;;10;-58
-5781;100;8;;;;;;10;-57.81
-5781;100;8;;;;;;10;-57.81
-5790;100;8;;;;;;10;-57.9
-5790;100;8;;;;;;10;-57.9
-5870;110;8;;;;;;20;-58.7
-5880;110;8;;;;;;20;-58.8
-5870;110;8;;;;;;20;-58.7
-5880;110;8;;;;;;20;-58.8
-5889;110;8;;;;;;20;-58.89
-5880;110;8;;;;;;20;-58.8
-6021;120;8;;;;;;30;-60.21
-6030;120;8;;;;;;30;-60.3
-6049;120;8;;;;;;30;-60.49
-6030;120;8;;;;;;30;-60.3
-6058;120;8;;;;;;30;-60.58
-6040;120;8;;;;;;30;-60.4
-6312;130;8;;;;;;40;-63.12
-6312;130;8;;;;;;40;-63.12
-6322;130;8;;;;;;40;-63.22
-6350;130;8;;;;;;40;-63.5
-6322;130;8;;;;;;40;-63.22
-6303;130;8;;;;;;40;-63.03
-6665;140;8;;;;;;50;-66.65
-6712;140;8;;;;;;50;-67.12
-6683;140;8;;;;;;50;-66.83
-6693;140;8;;;;;;50;-66.93
-6702;140;8;;;;;;50;-67.02
-6712;140;8;;;;;;50;-67.12
-7266;150;8;;;;;;60;-72.66
-7200;150;8;;;;;;60;-72
-7276;150;8;;;;;;60;-72.76
-7219;150;8;;;;;;60;-72.19
-7200;150;8;;;;;;60;-72
-7200;150;8;;;;;;60;-72
-7266;150;8;;;;;;60;-72.66
-5842;80;8;;;;;;-10;-58.42
-5870;80;8;;;;;;-10;-58.7
-5870;80;8;;;;;;-10;-58.7
-5842;80;8;;;;;;-10;-58.42
-5861;80;8;;;;;;-10;-58.61
-5833;80;8;;;;;;-10;-58.33
-5997;70;8;;;;;;-20;-59.97
-5997;70;8;;;;;;-20;-59.97
-5978;70;8;;;;;;-20;-59.78
-5997;70;8;;;;;;-20;-59.97
-5997;70;8;;;;;;-20;-59.97
-5988;70;8;;;;;;-20;-59.88
-5988;70;8;;;;;;-20;-59.88
-6237;60;8;;;;;;-30;-62.37
-6218;60;8;;;;;;-30;-62.18
-6218;60;8;;;;;;-30;-62.18
-6237;60;8;;;;;;-30;-62.37
-6218;60;8;;;;;;-30;-62.18
-6199;60;8;;;;;;-30;-61.99
-6218;60;8;;;;;;-30;-62.18
-6547;50;8;;;;;;-40;-65.47
-6528;50;8;;;;;;-40;-65.28
-6500;50;8;;;;;;-40;-65
-6557;50;8;;;;;;-40;-65.57
-6510;50;8;;;;;;-40;-65.1
-6519;50;8;;;;;;-40;-65.19
-6904;40;8;;;;;;-50;-69.04
-6951;40;8;;;;;;-50;-69.51
-6970;40;8;;;;;;-50;-69.7
-6951;40;8;;;;;;-50;-69.51
-6961;40;8;;;;;;-50;-69.61
-6951;40;8;;;;;;-50;-69.51
-6970;40;8;;;;;;-50;-69.7
-7412;30;8;;;;;;-60;-74.12
-7403;30;8;;;;;;-60;-74.03
-7393;30;8;;;;;;-60;-73.93
-7421;30;8;;;;;;-60;-74.21
-7497;30;8;;;;;;-60;-74.97
-7468;30;8;;;;;;-60;-74.68
-7421;30;8;;;;;;-60;-74.21
-7365;20;8;;;;;;-70;-73.65
-7290;20;8;;;;;;-70;-72.9
-7318;20;8;;;;;;-70;-73.18
-7262;20;8;;;;;;-70;-72.62
-7252;20;8;;;;;;-70;-72.52
-7290;20;8;;;;;;-70;-72.9
-7280;20;8;;;;;;-70;-72.8
-7168;10;8;;;;;;-80;-71.68
-7186;10;8;;;;;;-80;-71.86
-7224;10;8;;;;;;-80;-72.24
-7233;10;8;;;;;;-80;-72.33
-7271;10;8;;;;;;-80;-72.71
-7280;10;8;;;;;;-80;-72.8
-7318;10;8;;;;;;-80;-73.18
-7182;0;8;;;;;;-90;-71.82
-7257;0;8;;;;;;-90;-72.57
-7276;0;8;;;;;;-90;-72.76
-7144;0;8;;;;;;-90;-71.44
-7266;0;8;;;;;;-90;-72.66
-7097;0;8;;;;;;-90;-70.97
-7313;0;8;;;;;;-90;-73.13
-7097;0;8;;;;;;-90;-70.97
-7313;0;8;;;;;;-90;-73.13
-7050;0;8;;;;;;-90;-70.5
-7097;0;8;;;;;;-90;-70.97
-7304;0;8;;;;;;-90;-73.04
-5823;100;9;;;;;;10;-58.23
-5842;100;9;;;;;;10;-58.42
-5814;100;9;;;;;;10;-58.14
-5833;100;9;;;;;;10;-58.33
-5823;100;9;;;;;;10;-58.23
-5823;100;9;;;;;;10;-58.23
-5922;110;9;;;;;;20;-59.22
-5931;110;9;;;;;;20;-59.31
-5903;110;9;;;;;;20;-59.03
-5913;110;9;;;;;;20;-59.13
-5922;110;9;;;;;;20;-59.22
-5931;110;9;;;;;;20;-59.31
-5931;110;9;;;;;;20;-59.31
-6011;120;9;;;;;;30;-60.11
-6011;120;9;;;;;;30;-60.11
-6040;120;9;;;;;;30;-60.4
-6030;120;9;;;;;;30;-60.3
-6030;120;9;;;;;;30;-60.3
-6040;120;9;;;;;;30;-60.4
-6030;120;9;;;;;;30;-60.3
-6331;130;9;;;;;;40;-63.31
-6340;130;9;;;;;;40;-63.4
-6322;130;9;;;;;;40;-63.22
-6340;130;9;;;;;;40;-63.4
-6331;130;9;;;;;;40;-63.31
-6340;130;9;;;;;;40;-63.4
-6322;130;9;;;;;;40;-63.22
-6608;140;9;;;;;;50;-66.08
-6636;140;9;;;;;;50;-66.36
-6636;140;9;;;;;;50;-66.36
-6608;140;9;;;;;;50;-66.08
-6618;140;9;;;;;;50;-66.18
-6580;140;9;;;;;;50;-65.8
-7294;150;9;;;;;;60;-72.94
-7238;150;9;;;;;;60;-72.38
-7144;150;9;;;;;;60;-71.44
-7285;150;9;;;;;;60;-72.85
-7182;150;9;;;;;;60;-71.82
-7276;150;9;;;;;;60;-72.76
-5842;80;9;;;;;;-10;-58.42
-5842;80;9;;;;;;-10;-58.42
-5852;80;9;;;;;;-10;-58.52
-5870;80;9;;;;;;-10;-58.7
-5861;80;9;;;;;;-10;-58.61
-5861;80;9;;;;;;-10;-58.61
-6035;70;9;;;;;;-20;-60.35
-6007;70;9;;;;;;-20;-60.07
-6007;70;9;;;;;;-20;-60.07
-5997;70;9;;;;;;-20;-59.97
-6007;70;9;;;;;;-20;-60.07
-6007;70;9;;;;;;-20;-60.07
-5997;70;9;;;;;;-20;-59.97
-6171;60;9;;;;;;-30;-61.71
-6181;60;9;;;;;;-30;-61.81
-6152;60;9;;;;;;-30;-61.52
-6143;60;9;;;;;;-30;-61.43
-6190;60;9;;;;;;-30;-61.9
-6171;60;9;;;;;;-30;-61.71
-6181;60;9;;;;;;-30;-61.81
-6500;50;9;;;;;;-40;-65
-6500;50;9;;;;;;-40;-65
-6491;50;9;;;;;;-40;-64.91
-6481;50;9;;;;;;-40;-64.81
-6519;50;9;;;;;;-40;-65.19
-6500;50;9;;;;;;-40;-65
-6914;40;9;;;;;;-50;-69.14
-6923;40;9;;;;;;-50;-69.23
-6933;40;9;;;;;;-50;-69.33
-6951;40;9;;;;;;-50;-69.51
-6942;40;9;;;;;;-50;-69.42
-6951;40;9;;;;;;-50;-69.51
-7327;30;9;;;;;;-60;-73.27
-7243;30;9;;;;;;-60;-72.43
-7374;30;9;;;;;;-60;-73.74
-7290;30;9;;;;;;-60;-72.9
-7356;30;9;;;;;;-60;-73.56
-7337;30;9;;;;;;-60;-73.37
-6890;20;9;;;;;;-70;-68.9
-6881;20;9;;;;;;-70;-68.81
-6871;20;9;;;;;;-70;-68.71
-6909;20;9;;;;;;-70;-69.09
-6881;20;9;;;;;;-70;-68.81
-6900;20;9;;;;;;-70;-69
-6890;20;9;;;;;;-70;-68.9
-7548;10;9;;;;;;-80;-75.48
-7586;10;9;;;;;;-80;-75.86
-7595;10;9;;;;;;-80;-75.95
-7539;10;9;;;;;;-80;-75.39
-7558;10;9;;;;;;-80;-75.58
-7576;10;9;;;;;;-80;-75.76
-7539;10;9;;;;;;-80;-75.39
-7163;0;9;;;;;;-90;-71.63
-7445;0;9;;;;;;-90;-74.45
-7464;0;9;;;;;;-90;-74.64
-7182;0;9;;;;;;-90;-71.82
-7445;0;9;;;;;;-90;-74.45
-7144;0;9;;;;;;-90;-71.44
-7163;0;9;;;;;;-90;-71.63
-7473;0;9;;;;;;-90;-74.73
-5772;100;10;;;;;;10;-57.72
-5772;100;10;;;;;;10;-57.72
-5800;100;10;;;;;;10;-58
-5800;100;10;;;;;;10;-58
-5809;100;10;;;;;;10;-58.09
-5790;100;10;;;;;;10;-57.9
-5917;110;10;;;;;;20;-59.17
-5927;110;10;;;;;;20;-59.27
-5917;110;10;;;;;;20;-59.17
-5927;110;10;;;;;;20;-59.27
-5927;110;10;;;;;;20;-59.27
-5936;110;10;;;;;;20;-59.36
-5927;110;10;;;;;;20;-59.27
-6049;120;10;;;;;;30;-60.49
-6058;120;10;;;;;;30;-60.58
-6049;120;10;;;;;;30;-60.49
-6058;120;10;;;;;;30;-60.58
-6049;120;10;;;;;;30;-60.49
-6087;120;10;;;;;;30;-60.87
-6058;120;10;;;;;;30;-60.58
-6336;130;10;;;;;;40;-63.36
-6326;130;10;;;;;;40;-63.26
-6354;130;10;;;;;;40;-63.54
-6364;130;10;;;;;;40;-63.64
-6336;130;10;;;;;;40;-63.36
-6354;130;10;;;;;;40;-63.54
-6354;130;10;;;;;;40;-63.54
-6698;140;10;;;;;;50;-66.98
-6679;140;10;;;;;;50;-66.79
-6688;140;10;;;;;;50;-66.88
-6726;140;10;;;;;;50;-67.26
-6679;140;10;;;;;;50;-66.79
-6716;140;10;;;;;;50;-67.16
-7285;150;10;;;;;;60;-72.85
-7257;150;10;;;;;;60;-72.57
-7210;150;10;;;;;;60;-72.1
-7219;150;10;;;;;;60;-72.19
-7229;150;10;;;;;;60;-72.29
-7304;150;10;;;;;;60;-73.04
-5819;80;10;;;;;;-10;-58.19
-5819;80;10;;;;;;-10;-58.19
-5828;80;10;;;;;;-10;-58.28
-5837;80;10;;;;;;-10;-58.37
-5819;80;10;;;;;;-10;-58.19
-5809;80;10;;;;;;-10;-58.09
-5837;80;10;;;;;;-10;-58.37
-6007;70;10;;;;;;-20;-60.07
-5997;70;10;;;;;;-20;-59.97
-5988;70;10;;;;;;-20;-59.88
-5988;70;10;;;;;;-20;-59.88
-5978;70;10;;;;;;-20;-59.78
-6016;70;10;;;;;;-20;-60.16
-6223;60;10;;;;;;-30;-62.23
-6251;60;10;;;;;;-30;-62.51
-6242;60;10;;;;;;-30;-62.42
-6232;60;10;;;;;;-30;-62.32
-6232;60;10;;;;;;-30;-62.32
-6260;60;10;;;;;;-30;-62.6
-6491;50;10;;;;;;-40;-64.91
-6472;50;10;;;;;;-40;-64.72
-6491;50;10;;;;;;-40;-64.91
-6481;50;10;;;;;;-40;-64.81
-6519;50;10;;;;;;-40;-65.19
-6500;50;10;;;;;;-40;-65
-6481;50;10;;;;;;-40;-64.81
-6994;40;10;;;;;;-50;-69.94
-6994;40;10;;;;;;-50;-69.94
-6994;40;10;;;;;;-50;-69.94
-7031;40;10;;;;;;-50;-70.31
-7012;40;10;;;;;;-50;-70.12
-6994;40;10;;;;;;-50;-69.94
-7022;40;10;;;;;;-50;-70.22
-7262;30;10;;;;;;-60;-72.62
-7280;30;10;;;;;;-60;-72.8
-7346;30;10;;;;;;-60;-73.46
-7224;30;10;;;;;;-60;-72.24
-7149;30;10;;;;;;-60;-71.49
-7215;30;10;;;;;;-60;-72.15
-6928;20;10;;;;;;-70;-69.28
-6947;20;10;;;;;;-70;-69.47
-6918;20;10;;;;;;-70;-69.18
-6890;20;10;;;;;;-70;-68.9
-6947;20;10;;;;;;-70;-69.47
-6918;20;10;;;;;;-70;-69.18
-6937;20;10;;;;;;-70;-69.37
-7708;10;10;;;;;;-80;-77.08
-7793;10;10;;;;;;-80;-77.93
-7858;10;10;;;;;;-80;-78.58
-7802;10;10;;;;;;-80;-78.02
-7783;10;10;;;;;;-80;-77.83
-7699;10;10;;;;;;-80;-76.99
-7764;10;10;;;;;;-80;-77.64
-7257;0;10;;;;;;-90;-72.57
-7529;0;10;;;;;;-90;-75.29
-7492;0;10;;;;;;-90;-74.92
-7172;0;10;;;;;;-90;-71.72
-7219;0;10;;;;;;-90;-72.19
-7482;0;10;;;;;;-90;-74.82
-7539;0;10;;;;;;-90;-75.39
-7266;0;10;;;;;;-90;-72.66
-7247;0;10;;;;;;-90;-72.47
-7501;0;10;;;;;;-90;-75.01
-7464;0;10;;;;;;-90;-74.64
-7247;0;10;;;;;;-90;-72.47
-5805;90;1;;;;;;0;-58.05
-5776;90;1;;;;;;0;-57.76
-5786;90;1;;;;;;0;-57.86
-5795;90;1;;;;;;0;-57.95
-5776;90;1;;;;;;0;-57.76
-5795;90;1;;;;;;0;-57.95
-5795;90;1;;;;;;0;-57.95
-5748;90;2;;;;;;0;-57.48
-5739;90;2;;;;;;0;-57.39
-5758;90;2;;;;;;0;-57.58
-5758;90;2;;;;;;0;-57.58
-5748;90;2;;;;;;0;-57.48
-5748;90;2;;;;;;0;-57.48
-5819;90;3;;;;;;0;-58.19
-5828;90;3;;;;;;0;-58.28
-5819;90;3;;;;;;0;-58.19
-5819;90;3;;;;;;0;-58.19
-5819;90;3;;;;;;0;-58.19
-5819;90;3;;;;;;0;-58.19
-5814;90;4;;;;;;0;-58.14
-5814;90;4;;;;;;0;-58.14
-5814;90;4;;;;;;0;-58.14
-5814;90;4;;;;;;0;-58.14
-5805;90;4;;;;;;0;-58.05
-5823;90;4;;;;;;0;-58.23
-5823;90;4;;;;;;0;-58.23
-5795;90;5;;;;;;0;-57.95
-5814;90;5;;;;;;0;-58.14
-5795;90;5;;;;;;0;-57.95
-5795;90;5;;;;;;0;-57.95
-5814;90;5;;;;;;0;-58.14
-5814;90;5;;;;;;0;-58.14
-5805;90;6;;;;;;0;-58.05
-5786;90;6;;;;;;0;-57.86
-5786;90;6;;;;;;0;-57.86
-5805;90;6;;;;;;0;-58.05
-5795;90;6;;;;;;0;-57.95
-5795;90;6;;;;;;0;-57.95
-5823;90;6;;;;;;0;-58.23
-5739;90;7;;;;;;0;-57.39
-5758;90;7;;;;;;0;-57.58
-5739;90;7;;;;;;0;-57.39
-5748;90;7;;;;;;0;-57.48
-5758;90;7;;;;;;0;-57.58
-5758;90;7;;;;;;0;-57.58
-5790;90;8;;;;;;0;-57.9
-5772;90;8;;;;;;0;-57.72
-5772;90;8;;;;;;0;-57.72
-5800;90;8;;;;;;0;-58
-5781;90;8;;;;;;0;-57.81
-5781;90;8;;;;;;0;-57.81
-5758;90;9;;;;;;0;-57.58
-5767;90;9;;;;;;0;-57.67
-5776;90;9;;;;;;0;-57.76
-5776;90;9;;;;;;0;-57.76
-5767;90;9;;;;;;0;-57.67
-5767;90;9;;;;;;0;-57.67
-5706;90;10;;;;;;0;-57.06
-5725;90;10;;;;;;0;-57.25
-5715;90;10;;;;;;0;-57.15
-5725;90;10;;;;;;0;-57.25
-5715;90;10;;;;;;0;-57.15
-5734;90;10;;;;;;0;-57.34
-5734;90;10;;;;;;0;-57.34
