RSSI-Org;Robot Rot Z [deg];Reading Number;;;;;;phi;RSSI
-6171;60;2;;;;;;-30;-61.71
-6181;60;2;;;;;;-30;-61.81
-6162;60;2;;;;;;-30;-61.62
-6181;60;2;;;;;;-30;-61.81
-6181;60;2;;;;;;-30;-61.81
-6171;60;2;;;;;;-30;-61.71
-6514;50;2;;;;;;-40;-65.14
-6514;50;2;;;;;;-40;-65.14
-6505;50;2;;;;;;-40;-65.05
-6533;50;2;;;;;;-40;-65.33
-6495;50;2;;;;;;-40;-64.95
-6542;50;2;;;;;;-40;-65.42
-6505;50;2;;;;;;-40;-65.05
-6843;40;2;;;;;;-50;-68.43
-6806;40;2;;;;;;-50;-68.06
-6824;40;2;;;;;;-50;-68.24
-6824;40;2;;;;;;-50;-68.24
-6796;40;2;;;;;;-50;-67.96
-6824;40;2;;;;;;-50;-68.24
-7426;30;2;;;;;;-60;-74.26
-7370;30;2;;;;;;-60;-73.7
-7370;30;2;;;;;;-60;-73.7
-7426;30;2;;;;;;-60;-74.26
-7454;30;2;;;;;;-60;-74.54
-7360;30;2;;;;;;-60;-73.6
-7497;20;2;;;;;;-70;-74.97
-7440;20;2;;;;;;-70;-74.4
-7468;20;2;;;;;;-70;-74.68
-7478;20;2;;;;;;-70;-74.78
-7459;20;2;;;;;;-70;-74.59
-7515;20;2;;;;;;-70;-75.15
-7515;20;2;;;;;;-70;-75.15
-7548;10;2;;;;;;-80;-75.48
-7539;10;2;;;;;;-80;-75.39
-7520;10;2;;;;;;-80;-75.2
-7539;10;2;;;;;;-80;-75.39
-7539;10;2;;;;;;-80;-75.39
-7520;10;2;;;;;;-80;-75.2
-7529;10;2;;;;;;-80;-75.29
-7497;0;2;;;;;;-90;-74.97
-7478;0;2;;;;;;-90;-74.78
-7497;0;2;;;;;;-90;-74.97
-7468;0;2;;;;;;-90;-74.68
-7440;0;2;;;;;;-90;-74.4
-7525;0;2;;;;;;-90;-75.25
-5776;100;3;;;;;;10;-57.76
-5776;100;3;;;;;;10;-57.76
-5767;100;3;;;;;;10;-57.67
-5786;100;3;;;;;;10;-57.86
-5786;100;3;;;;;;10;-57.86
-5786;100;3;;;;;;10;-57.86
-5861;110;3;;;;;;20;-58.61
-5870;110;3;;;;;;20;-58.7
-5870;110;3;;;;;;20;-58.7
-5861;110;3;;;;;;20;-58.61
-5870;110;3;;;;;;20;-58.7
-5889;110;3;;;;;;20;-58.89
-5870;110;3;;;;;;20;-58.7
-6110;120;3;;;;;;30;-61.1
-6119;120;3;;;;;;30;-61.19
-6119;120;3;;;;;;30;-61.19
-6091;120;3;;;;;;30;-60.91
-6110;120;3;;;;;;30;-61.1
-6110;120;3;;;;;;30;-61.1
-6072;120;3;;;;;;30;-60.72
-6430;130;3;;;;;;40;-64.3
-6401;130;3;;;;;;40;-64.01
-6420;130;3;;;;;;40;-64.2
-6420;130;3;;;;;;40;-64.2
-6420;130;3;;;;;;40;-64.2
-6392;130;3;;;;;;40;-63.92
-6392;130;3;;;;;;40;-63.92
-6651;140;3;;;;;;50;-66.51
-6622;140;3;;;;;;50;-66.22
-6688;140;3;;;;;;50;-66.88
-6679;140;3;;;;;;50;-66.79
-6651;140;3;;;;;;50;-66.51
-6651;140;3;;;;;;50;-66.51
-7323;150;3;;;;;;60;-73.23
-7304;150;3;;;;;;60;-73.04
-7304;150;3;;;;;;60;-73.04
-7351;150;3;;;;;;60;-73.51
-7247;150;3;;;;;;60;-72.47
-7304;150;3;;;;;;60;-73.04
-5819;80;3;;;;;;-10;-58.19
-5847;80;3;;;;;;-10;-58.47
-5837;80;3;;;;;;-10;-58.37
-5828;80;3;;;;;;-10;-58.28
-5847;80;3;;;;;;-10;-58.47
-5828;80;3;;;;;;-10;-58.28
-5974;70;3;;;;;;-20;-59.74
-5964;70;3;;;;;;-20;-59.64
-5955;70;3;;;;;;-20;-59.55
-5983;70;3;;;;;;-20;-59.83
-5983;70;3;;;;;;-20;-59.83
-5955;70;3;;;;;;-20;-59.55
-5983;70;3;;;;;;-20;-59.83
-6204;60;3;;;;;;-30;-62.04
-6242;60;3;;;;;;-30;-62.42
-6213;60;3;;;;;;-30;-62.13
-6223;60;3;;;;;;-30;-62.23
